ID, Date      , Car Type    , Odometer (Km), Distance (Km), "City, Road", Spent Fuel  (L), Current Tank  (L), Fuel  Supplied  (L), Gas Station        , Total (R$) , Unit Value (R$/L), Consumtion     (Km/L), Tank Level         , Period (d), Photo Bill
30, jun.-8    , Hyundai I-30,        66.979,           214, City        , "26,55"        , "53,00"          , "27,58"            , P V Rao 2          , "R$ 156,93", "R$ 5,69"        , "7,76"               , Full Tank - refresh,         16, Combustível_Images/3066979.Photo Bill.205105.jpg
31, jun.-26   , Hyundai I-30,        67.205,           226, City        , "29,12"        , "53,00"          , "28,34"            , P V Rao 2          , "R$ 158,42", "R$ 5,59"        , "7,97"               , Full Tank - refresh,         18, Combustível_Images/3167205.Photo Bill.125914.jpg
32, jul.-18   , Hyundai I-30,        67.476,           271, City        , "34,00"        , "53,00"          , "34,42"            , P V Rao 2          , "R$ 192,41", "R$ 5,59"        , "7,87"               , Full Tank - refresh,         22, Combustível_Images/3267476.Photo Bill.134106.jpg
33, ago.-7    , Hyundai I-30,        67.733,           257, City        , "32,66"        , "53,00"          , "32,09"            , P V Rao 2          , "R$ 179,38", "R$ 5,59"        , "8,01"               , Full Tank - refresh,         20, Combustível_Images/3367733.Photo Bill.135354.jpg
34, ago.-29   , Hyundai I-30,        68.020,           287, City        , "35,83"        , "53,00"          , "42,10"            , P V Rao 2          , "R$ 238,29", "R$ 5,66"        , "6,82"               , Full Tank - refresh,         22, Combustível_Images/3468020.Photo Bill.132829.jpg
35, set.-18   , Hyundai I-30,        68.265,           245, City        , "35,92"        , "53,00"          , "33,62"            , P V Rao 2          , "R$ 193,65", "R$ 5,76"        , "7,29"               , Full Tank - refresh,         20, Combustível_Images/3568265.Photo Bill.131947.jpg
36, out.-9    , Hyundai I-30,        68.527,           262, City        , "35,94"        , "53,00"          , "31,73"            , P V Rao            , "R$ 179,91", "R$ 5,67"        , "8,26"               , Full Tank - refresh,         21, Combustível_Images/3668527.Photo Bill.130302.jpg
37, nov.-3    , Hyundai I-30,        68.815,           288, City        , "34,87"        , "53,00"          , "38,23"            , P V Rao            , "R$ 216,76", "R$ 5,67"        , "7,53"               , Full Tank - refresh,         25, Combustível_Images/3768815.Photo Bill.130041.jpg
38, nov.-24   , Hyundai I-30,        69.101,           286, City        , "37,98"        , "53,00"          , "39,95"            , P V Rao 2          , "R$ 229,31", "R$ 5,74"        , "7,16"               , Full Tank - refresh,         21, Combustível_Images/3869101.Photo Bill.130019.jpg
39, 12/12/2025, Hyundai I-30,     69337    ,           236, City        , "32,96"        , 53               , "31,91"            , Posto Paz          , "181,57"   , "5,69"           , "7,4"                , Full Tank - refresh,         18, Combustível_Images/3969337.Photo Bill.134618.jpg
40, 09/01/2026, Hyundai I-30,     69662    ,           325, City        , "43,92"        , 53               , "39,76"            , Posto Paz          , "234,19"   , "5,89"           , "8,17"               , Full Tank - refresh,         28, Combustível_Images/4069662.Photo Bill.145500.jpg
41, 02/02/2026, Hyundai I-30,     69951    ,           289, City        , "35,37"        , 53               , "38,67"            , Posto Paz          , "221,97"   , "5,74"           , "7,47"               , Full Tank - refresh,         24, Combustível_Images/4169951.Photo Bill.134441.jpg
42, 23/02/2026, Hyundai I-30,     70211    ,           260, City        , "34,81"        , 53               , "36,84"            , P V Rao 2          , "213,3"    , "5,79"           , "7,06"               , Full Tank - refresh,         21, Combustível_Images/4270211.Photo Bill.131407.jpg
43, 24/03/2026, Hyundai I-30,     70460    ,           249, City        , "35,27"        , 53               , "35,71"            , Posto Paz          , "231,76"   , "6,49"           , "6,97"               , Full Tank - refresh,         29, Combustível_Images/4370460.Photo Bill.144012.jpg
